"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 26 16:36:45 GMT 2024","Mon Feb 26 16:36:48 GMT 2024","2486","","SelenideIssuesTest","","SelenideIssuesTest","shouldSearchIssuesWithStepsClass","shouldSearchIssuesWithStepsClass(String) Test with steps class, issues 2094",""
"failed","Mon Feb 26 16:36:39 GMT 2024","Mon Feb 26 16:36:45 GMT 2024","6486","","SelenideIssuesTest","","SelenideIssuesTest","shouldSearchIssuesWithSteps","shouldSearchIssuesWithSteps(String) Test with steps, issues 2095",""
"passed","Mon Feb 26 16:36:55 GMT 2024","Mon Feb 26 16:36:57 GMT 2024","2288","","SelenideIssuesTest","","SelenideIssuesTest","shouldSearchIssues","shouldSearchIssues(String) Should have selenide issues 2094",""
"failed","Mon Feb 26 16:36:57 GMT 2024","Mon Feb 26 16:37:03 GMT 2024","6351","","SelenideIssuesTest","","SelenideIssuesTest","shouldSearchIssues","shouldSearchIssues(String) Should have selenide issues 2095",""
"passed","Mon Feb 26 16:36:33 GMT 2024","Mon Feb 26 16:36:39 GMT 2024","5803","","SelenideIssuesTest","","SelenideIssuesTest","shouldSearchIssuesWithSteps","shouldSearchIssuesWithSteps(String) Test with steps, issues 2094",""
"failed","Mon Feb 26 16:36:48 GMT 2024","Mon Feb 26 16:36:55 GMT 2024","6882","","SelenideIssuesTest","","SelenideIssuesTest","shouldSearchIssuesWithStepsClass","shouldSearchIssuesWithStepsClass(String) Test with steps class, issues 2095",""
